"impianto","comune_ubicazione","provincia_ubicazione","rifiuto_trattato"
"ACQ S.P.A. Impianto Depurativo Bari Est","OSTUNI","BRINDISI","20 03 04 - fanghi delle fosse settiche"
"ACQ S.P.A. Impianto Depurativo Bari Est","OSTUNI","BRINDISI","20 03 04 - fanghi delle fosse settiche "
"ACQUEDOTTO PUGLIESE S.P.A.","BITONTO","BARI","20 03 04 - fanghi delle fosse settiche"
"ACQUEDOTTO PUGLIESE S.P.A.","BITONTO","BARI","20 03 04 - fanghi delle fosse settiche "
"ACQUEDOTTO PUGLIESE S.P.A. - IMPIANTO DI BARI EST","BARI","BARI","20 03 04 - fanghi delle fosse settiche "
"ACQUEDOTTO PUGLIESE S.P.A. - IMPIANTO DI OSTUNI","OSTUNI","BRINDISI","20 03 04 - fanghi delle fosse settiche"
"ACQUEDOTTO PUGLIESE S.P.A. - IMPIANTO DI OSTUNI","OSTUNI","BRINDISI","20 03 04 - fanghi delle fosse settiche "
"ACQUEDOTTO PUGLIESE S.P.A. - IMPIANTO DI POGGIO IMPERIALE","POGGIO IMPERIALE","FOGGIA","20 03 04 - fanghi delle fosse settiche"
"ACQUEDOTTO PUGLIESE S.P.A. - IMPIANTO DI POGGIO IMPERIALE","POGGIO IMPERIALE","FOGGIA","20 03 04 - fanghi delle fosse settiche "
"ADECO S.R.L.","GALATONE","LECCE","00 00 00 - Altro - Non specificato"
"ADECO S.R.L.","GALATONE","LECCE","00 00 00 - Altro - Non specificato "
"ADECO S.R.L.","GALATONE","LECCE","00 00 10 - vetro/metallo
"
"ADECO S.R.L.","GALATONE","LECCE","08 03 18 - toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17"
"ADECO S.R.L.","GALATONE","LECCE","15 01 01 - imballaggi in carta e cartone "
"ADECO S.R.L.","GALATONE","LECCE","15 01 02 - imballaggi in plastica "
"ADECO S.R.L.","GALATONE","LECCE","15 01 04 - imballaggi metallici "
"ADECO S.R.L.","GALATONE","LECCE","15 01 06 - imballaggi in materiali misti "
"ADECO S.R.L.","GALATONE","LECCE","15 01 07 - imballaggi in vetro "
"ADECO S.R.L.","GALATONE","LECCE","16 01 03 - pneumatici fuori uso"
"ADECO S.R.L.","GALATONE","LECCE","16 02 16 - componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15"
"ADECO S.R.L.","GALATONE","LECCE","16 06 01 -  batterie al piombo"
"ADECO S.R.L.","GALATONE","LECCE","16 06 01 -  batterie al piombo "
"ADECO S.R.L.","GALATONE","LECCE","16 10 02 - soluzioni acquose di scarto, diverse da quelle di cui alla voce 16 10 01 "
"ADECO S.R.L.","GALATONE","LECCE","20 01 01 - carta e cartone "
"ADECO S.R.L.","GALATONE","LECCE","20 01 02 - vetro "
"ADECO S.R.L.","GALATONE","LECCE","20 01 10 - abbigliamento "
"ADECO S.R.L.","GALATONE","LECCE","20 01 21 - tubi fluorescenti ed altri rifiuti contenenti mercurio"
"ADECO S.R.L.","GALATONE","LECCE","20 01 21 - tubi fluorescenti ed altri rifiuti contenenti mercurio "
"ADECO S.R.L.","GALATONE","LECCE","20 01 23 -  apparecchiature fuori uso contenenti clorofluorocarburi"
"ADECO S.R.L.","GALATONE","LECCE","20 01 23 -  apparecchiature fuori uso contenenti clorofluorocarburi "
"ADECO S.R.L.","GALATONE","LECCE","20 01 32 - medicinali diversi da quelli di cui alla voce 20 01 31"
"ADECO S.R.L.","GALATONE","LECCE","20 01 32 - medicinali diversi da quelli di cui alla voce 20 01 31 "
"ADECO S.R.L.","GALATONE","LECCE","20 01 33 -  batterie e accumulatori di cui alle voci 16 06 01, 16 06 02 e 16 06 03 nonché batterie e accumulatori non suddivisi contenenti tali batterie"
"ADECO S.R.L.","GALATONE","LECCE","20 01 33 -  batterie e accumulatori di cui alle voci 16 06 01, 16 06 02 e 16 06 03 nonché batterie e accumulatori non suddivisi contenenti tali batterie "
"ADECO S.R.L.","GALATONE","LECCE","20 01 34 - batterie e accumulatori diversi da quelli di cui alla voce 20 01 33"
"ADECO S.R.L.","GALATONE","LECCE","20 01 34 - batterie e accumulatori diversi da quelli di cui alla voce 20 01 33 "
